seed,window,strategy,cum_ret,ann_ret,ann_vol,sharpe,sortino,max_dd
0,2019-12-31->2020-12-31,Random,-0.999663785868667,-0.9996600872034707,0.46894988073474553,-2.1316991579573976,-2.5353045301218757,-0.9996661522712683
0,2019-12-31->2020-12-31,Hold cash,0.0,0.0,0.0,0.0,0.0,0.0
0,2019-12-31->2020-12-31,Hold Asset_0,3.216799525164472,3.2085063273632297,0.8075311506548181,3.9732291256246848,4.411942378048459,-0.6580221298371763
0,2019-12-31->2020-12-31,Equal weight,3.216799525164472,3.2085063273632297,0.8075311506548181,3.9732291256246848,4.411942378048459,-0.6580221298371763
0,2019-12-31->2020-12-31,SMA crossover,-0.1735531783999782,-0.17333764133891782,0.5499166582690026,-0.31520710562300375,-0.33995926730144055,-0.47566593222605497
0,2019-12-31->2020-12-31,DQN (trained),13.657947473914232,13.604207193426415,0.3861841347643601,35.227254608620356,64.18082014046337,-0.09923014830101175
0,2020-12-31->2021-12-31,Random,-0.9993412330954421,-0.9993450809390378,0.5651332348928745,-1.7683353261733374,-2.1595771702764477,-0.9993866447034583
0,2020-12-31->2021-12-31,Hold cash,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-12-31->2021-12-31,Hold Asset_0,4.382717287054387,4.389967804695415,0.9829151701449589,4.4662732790920865,5.6366596652380405,-0.585658247343777
0,2020-12-31->2021-12-31,Equal weight,4.382717287054387,4.389967804695415,0.9829151701449589,4.4662732790920865,5.6366596652380405,-0.585658247343777
0,2020-12-31->2021-12-31,SMA crossover,-0.5391167408946411,-0.5394021586031845,0.6973353400529618,-0.7735190228951071,-0.8740404779229553,-0.7351811798082455
0,2020-12-31->2021-12-31,DQN (trained),21.163997550320953,21.21898639307704,0.31527808515184436,67.30244415761756,115.59960634698682,-0.04968698608422568
0,2021-12-31->2022-12-31,Random,-0.9998855979585892,-0.9998855979585892,0.430688853812497,-2.3215961265111686,-2.903166815668537,-0.9998855979585892
0,2021-12-31->2022-12-31,Hold cash,0.0,0.0,0.0,0.0,0.0,0.0
0,2021-12-31->2022-12-31,Hold Asset_0,-0.603775927760989,-0.603775927760989,0.709297621429273,-0.8512307119147542,-1.077566879586944,-0.6810505402302512
0,2021-12-31->2022-12-31,Equal weight,-0.603775927760989,-0.603775927760989,0.709297621429273,-0.8512307119147542,-1.077566879586944,-0.6810505402302512
0,2021-12-31->2022-12-31,SMA crossover,-0.8096603120030863,-0.8096603120030863,0.5186931180782826,-1.560962095262018,-1.6480477503276723,-0.8299283288012888
0,2021-12-31->2022-12-31,DQN (trained),2.2669387050017167,2.2669387050017167,0.2779802202322299,8.155035712819842,16.367091354353786,-0.09795263591495018
0,2022-12-31->2023-12-31,Random,-0.9997401371086088,-0.9997398921283752,0.2434158648772306,-4.107126918622726,-5.257323291151483,-0.9997401371086088
0,2022-12-31->2023-12-31,Hold cash,0.0,0.0,0.0,0.0,0.0,0.0
0,2022-12-31->2023-12-31,Hold Asset_0,0.869134441442593,0.8690010027952524,0.4166509294634415,2.085681131343043,2.5555732123217143,-0.2927721530561034
0,2022-12-31->2023-12-31,Equal weight,0.869134441442593,0.8690010027952524,0.4166509294634415,2.085681131343043,2.5555732123217143,-0.2927721530561034
0,2022-12-31->2023-12-31,SMA crossover,-0.7532679178446879,-0.753228502556597,0.33491596730828554,-2.2490073737606746,-2.5456878415749262,-0.7938495960767707
0,2022-12-31->2023-12-31,DQN (trained),0.9650527096670991,0.9649011996336798,0.18518216656878939,5.210551131389522,6.960392569559962,-0.06784162384937918
0,2023-12-31->2024-12-31,Random,-0.999730222280336,-0.9997240963607932,0.31775606125929773,-3.1461998268004474,-3.948776490884692,-0.999730222280336
